SALURAN : 		S. S. GROMPOL																																																												
Jenis sal (0.Profil 1. Main System 2. Tersier 3. Drain) :				1																																																										
Jenis Bangunan : 1.Bendung 2. Bagi  3.Sadap 4.Terjun 5.Gr Pembawa 6.Gr Pembuang 7.Jembatan 8.Talang 9.Siphon 10.Got miring 11.Pelimpah samping 12.Box Tersier 13.Box Kwarter 14.Jembatan org 15.Tempat ui 16.Mandi Hewan 17.PengurA																																																														
"Keterangan ross : R (rumah), P (pagar), J (jalan), T (tanggul), D (dAar sal), L (lining), W (Rawa), S (sawah), K (kebun), B(boundary)"																																																														
PATOK	X	Y	Z	Azimuth kiri			Dim sal	HWL1	X	Setion																																																				
				jam	mnt	dtk				1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22																															
jarak	Nama bangunan	Tipe bangunan	z (head loss)	El. Dr	El. T ka	El. T ki	Lining	HWL2	tnh Ali																																																					
step methode(y/n/d)				El. Dr2	El. T ka2	El. T ki2	K	Water level	Bed level																																																					
										-6.781880049	-1.316937736	-1.033661937	0	0.293001706	0.604368265	1.210826164	2.25614051	3.429022164	3.958544303	4.345753905	5.444586669	6.012075931	6.282358952																																							
															T1L	D1L	L	D1L	T1L																																											
GP.40	613488.874	9144018.369	-0.116							54.41224203	54.80766139	55.18831761	55.22746337	55.15493668	54.72954992	54.41807141	54.2993091	54.22967394	54.74734125	55.15936696	55.10990458	54.50591571	54.496248																																							
										-6.113070014	-1.585643718	-0.924489589	0	0.304507799	0.659372429	1.202770967	2.314873863	3.311002869	3.998656774	4.19426096	5.448508144	5.984836255	7.716000583																																							
															T1L	D1L	L	D1L	T1L																																											
GP.41	613476.462	9144065.548	55.165							54.42942976	54.57575796	55.17401209	55.25216249	55.21630898	54.75694346	54.30624715	54.19205214	54.19155171	54.70320771	55.17524565	55.13412837	54.41178673	54.46409112																																							
										-6.068286084	-1.605498365	-0.820685079	0	0.395060754	0.557366127	1.100763372	2.049353557	3.116431934	3.739128374	4.065480292	5.166549526	6.886128158	8.520089319																																							
															T1L	D1L	L	D1L	T1L																																											
GP.42	613459.000	9144111.237	55.104							54.32	54.316	55.029	55.104	55.014	54.557	54.158	54.083	54.124	54.631	55.041	54.978	54.165	54.262																																							
										-5.848739437	-1.744224756	-0.70010285	0	0.397001259	0.749006008	1.397012885	2.351025734	3.205035101	3.798038046	4.011045001	5.456057276	6.59307288	9.624105205																																							
															T1L	D1L	L	D1L	T1L																																											
GP.43	613442.209	9144157.533	55.021							54.39	54.351	54.924	55.019	54.988	54.635	54.121	54.075	54.129	54.675	55.137	55.054	54.22																																								
										-6.603803298	-1.594321172	-0.894986033	0	0.279406514	0.565346796	1.247572443	2.133548453	3.186725592	3.902256014	4.270315796	5.569420796	7.123912198																																								
															T1L	D1L	L	D1L	T1L																																											
GP.44	613431.508	9144204.764	55.113							54.307	54.323	54.945	55.113	55.022	54.574	54.102	54.119	54.225	54.585	55.132	54.861	54.688	54.47																																							
										-7.451749392	-2.309468553	-1.477560489	0	0.412584537	0.858151502	1.502375785	2.618125284	3.679262154	4.093781137	4.414188601	5.898851753	6.632810867	10.70501051																																							
															T1L	D1L	L	D1L	T1L																																											
GP.45	613436.451	9144253.294	55.002							54.335	54.156	54.87	55.021	54.944	54.511	54.027	54.045	54.062	54.586	54.893	54.901	54.248	54.303																																							
										-6.62584289	-1.795926502	-1.018426236	0	0.478774477	0.934080296	1.558398216	2.488868217	3.405231857	3.974133994	4.230151298	5.361709149	6.563842243	7.984975016																																							
															T1L	D1L	L	D1L	T1L																																											
GP.46	613444.510	9144301.248	54.962							54.284	54.326	54.815	54.964	54.989	54.614	54.003	54.003	54.146	54.596	55.054	54.996	54.111	54.111																																							
										-3.310275215	-1.616151602	-1.181490584	0	0.203081265	0.497266528	1.159891374	2.13589068	3.093431752	3.782241134	4.153009752	4.994191927	6.086593958	8.911115306																																							
															T1L	D1L	L	D1L	T1L																																											
GP.47	613452.075	9144349.565	55.005							54.182	54.358	54.973	55.005	54.924	54.554	53.997	53.94	53.929	54.521	54.944	54.907	54.035	54.051																																							
										-6.178186465	-1.487040685	-0.86602829	0	0.310025805	0.57505565	1.215118924	2.146195937	3.163292272	3.767345219	4.213385575	5.126464376	6.022544728	8.706786146																																							
															T1L	D1L	L	D1L	T1L																																											
GP.48	613460.066	9144397.892	54.932							54.123	54.119	54.896	54.932	54.877	54.504	53.922	53.892	54.024	54.542	54.969	54.877	54.258	53.996																																							
										-6.208058714	-1.823017553	-0.654006881	0	0.248008064	0.429010489	1.238040387	2.147067302	3.005095839	3.687114048	4.000127998	4.682146196	5.467029632	8.803047768																																							
