Id,Name,Description,X,Y,Z
9,P.22,,612424.30365754769,9141934.5064881928,57.59
10,P.22,,612425.79704289627,9141936.8144745883,57.447
11,P.22,,612427.3501853887,9141939.2148140222,57.573
0,P.23,,612383.713199479,9141918.84387533,57.241
1,P.23,,612386.09207915678,9141922.3862220775,57.419
2,P.23,,612387.61853159592,9141924.6592348237,57.454
3,P.23,T1,612389.28268810827,9141927.13730022,57.406
4,P.23,L,612390.17191076733,9141928.4614256155,57.056
5,P.23,D1L,612391.93809094524,9141931.0914126076,54.85
6,P.23,D1L,612399.16225847858,9141941.8487899564,54.891
7,P.23,L,612401.03269234754,9141944.634019237,57.012
8,P.23,T1,612401.5996763251,9141945.4783048332,57.391
9,P.23,,612402.359,9141946.609,57.569
10,P.23,,612402.69294631528,9141947.1062734239,57.292
11,P.23,,612404.63975855685,9141950.0052363575,57.268
0,P.24,,612363.82479362783,9141932.6929976847,57.241
1,P.24,,612366.2399585431,9141936.21070538,57.419
2,P.24,,612367.78969408048,9141938.4679080211,57.454
3,P.24,T1,612369.479234102,9141940.9287370518,57.406
4,P.24,L,612370.38202014368,9141942.2436523959,57.056
5,P.24,D1L,612372.17514000577,9141944.8553463221,54.85
6,P.24,D1L,612379.50949833042,9141955.5378999468,54.891
7,P.24,L,612381.4084620733,9141958.3037563618,57.012
8,P.24,T1,612382.755,9141960.265,57.569
9,P.24,,612383.09404002444,9141960.7588146031,57.292
10,P.24,,612383.5259056983,9141961.3878305331,57.391
11,P.24,,612385.07054714509,9141963.6376135889,57.268
0,P.25,,612343.2347359116,9141946.6301925946,57.237
1,P.25,,612345.68614164833,9141950.12274165,57.415
2,P.25,,612347.25913178362,9141952.3638007827,57.45
3,P.25,T1,612348.974024243,9141954.8070299681,57.402
4,P.25,L,612349.89035706467,9141956.11254104,57.052
5,P.25,D1L,612351.71038363467,9141958.7055561356,54.846
6,P.25,D1L,612359.15479786869,9141969.3117081579,54.887
7,P.25,L,612361.08225656254,9141972.0577831734,57.008
8,P.25,T1,612361.66652645578,9141972.89019995,57.388
9,P.25,,612362.449,9141974.005,57.565
10,P.25,,612362.79312749859,9141974.4952828418,57.288
11,P.25,,612364.7992931495,9141977.3534926642,57.264
0,P.26,,612324.6116977887,9141962.1807247642,57.285
1,P.26,,612326.12994910742,9141964.3612205628,57.638
2,P.26,,612327.59791585093,9141966.4694982115,57.609
3,P.26,T1,612329.13616671646,9141968.67871714,57.552
4,P.26,L,612329.95957663376,9141969.861289382,57.173
5,P.26,D1L,612330.61670460377,9141970.8050493244,54.85
6,P.26,D1L,612339.25993736484,9141983.2183648944,55.068
7,P.26,L,612341.12960929354,9141985.9035671,57.127
8,P.26,T1,612341.47188725357,9141986.3951429315,57.559
9,P.26,,612342.54329155257,9141987.93388197,57.645
10,P.26,,612342.801,9141988.304,57.565
11,P.26,,612343.89868941775,9141989.880489435,57.529
12,P.26,,612346.19635165052,9141993.1803665943,57.372
0,P.27,,612304.722896943,9141975.4172858074,57.351
1,P.27,,612306.22927897435,9141977.6059982534,57.703
2,P.27,,612307.68576954212,9141979.7222204134,57.675
3,P.27,T1,612309.21199476928,9141981.939764224,57.617
4,P.27,L,612310.02896748553,9141983.1267926916,57.239
5,P.27,D1L,612310.68095820292,9141984.0741089545,54.916
6,P.27,D1L,612319.256620456,9141996.5342009664,55.134
7,P.27,L,612321.11167578411,9141999.2295216769,57.193
8,P.27,T1,612321.45127790561,9141999.7229498867,57.625
9,P.27,,612322.5143062491,9142001.2674872745,57.71
10,P.27,,612322.77,9142001.639,57.63
11,P.27,,612323.85910797224,9142003.221430039,57.595
12,P.27,,612326.13880768931,9142006.53374195,57.438
0,P.28,,612283.61868518509,9141988.5945307668,57.261
1,P.28,,612285.53324357979,9141991.3447429668,57.263
2,P.28,,612287.80888848763,9141994.61364634,57.441
3,P.28,T1,612289.30236973008,9141996.7589924131,57.466
4,P.28,L,612289.76629733876,9141997.4254120812,57.169
5,P.28,D1L,612290.36848908686,9141998.2904445082,54.641
6,P.28,D1L,612299.04713486892,9142010.757088298,55.078
7,P.28,L,612300.8331418942,9142013.322639877,57.158
8,P.28,T1,612301.36220219661,9142014.0826209281,57.447
9,P.28,,612302.37061627209,9142015.53118092,57.478
10,P.28,,612302.658,9142015.944,57.519
11,P.28,,612303.97550870141,9142017.8365662,57.355
0,P.29,,612263.85652923828,9142002.0556966364,57.171
1,P.29,,612265.75541624229,9142004.81675244,57.173
2,P.29,,612268.01243412856,9142008.09854452,57.351
3,P.29,T1,612269.49369065755,9142010.2523493152,57.376
4,P.29,L,612269.95382084174,9142010.92139656,57.079
5,P.29,D1L,612270.55108342075,9142011.7898396552,54.551
6,P.29,D1L,612279.15869117714,9142024.3056372218,54.988
7,P.29,L,612280.93007905374,9142026.8813043181,57.068
8,P.29,T1,612281.45480879582,9142027.6442818381,57.357
9,P.29,,612282.45496861741,9142029.0985532477,57.388
10,P.29,,612282.74,9142029.513,57.429
11,P.29,,612284.04672439012,9142031.4130282551,57.265
12,P.29,,612285.420881652,9142033.4111065362,56.953
0,P.30,,612244.83991664462,9142017.27293044,56.818
1,P.30,,612246.362496917,9142019.5050938111,57.235
2,P.30,,612247.86986265669,9142021.71495207,57.267
3,P.30,,612249.58741434815,9142024.2329513133,57.33
4,P.30,T1,612249.93227708933,9142024.7385338377,56.987
5,P.30,L,612249.93002308439,9142024.7352293767,56.967
6,P.30,D1L,612251.850998713,9142027.55145622,54.934
7,P.30,,612255.36780977156,9142032.707241416,54.809
8,P.30,D1L,612259.01817061694,9142038.0588159226,54.909
9,P.30,L,612260.878851616,9142040.7866484355,56.99
10,P.30,T1,612261.49137743248,9142041.6846356988,57.278
11,P.30,,612262.3591692975,9142042.9568531625,57.234
12,P.30,,612262.686,9142043.436,57.397
13,P.30,,612264.21477878571,9142045.6772506386,56.845
14,P.30,,612265.82357474335,9142048.0358096417,56.849
0,P.31,,612224.05408539914,9142031.20230977,57.103
1,P.31,,612225.58381793,9142033.42957769,57.52
2,P.31,,612227.09826445847,9142035.634589415,57.552
3,P.31,,612228.82388427865,9142038.1470663287,57.615
4,P.31,T1,612229.17036699841,9142038.65154004,57.272
5,P.31,L,612229.1681024055,9142038.6482428256,57.252
6,P.31,D1L,612231.09810173837,9142041.4582932834,55.219
7,P.31,,612234.63143287273,9142046.6027711071,55.094
8,P.31,D1L,612238.29894113878,9142051.94260885,55.194
9,P.31,L,612240.16836261062,9142054.66445884,57.275
10,P.31,T1,612240.783765742,9142055.5604766887,57.563
11,P.31,,612241.65563402383,9142056.829904,57.519
12,P.31,,612241.984,9142057.308,57.682
13,P.31,,612243.51996016153,9142059.5443352573,57.13
14,P.31,,612245.13631337229,9142061.8977216035,57.134
0,P.32,,612204.25806225732,9142045.11453155,57.144
1,P.32,,612205.9008641931,9142047.4909832757,57.42
2,P.32,,612207.48907665652,9142049.788466718,57.436
3,P.32,T1,612208.91806982539,9142051.8556260075,57.472
4,P.32,L,612209.385492183,9142052.531791918,57.06
5,P.32,D1L,612211.34616406763,9142055.3680693656,54.969
6,P.32,,612214.86775367951,9142060.4623461161,54.983
7,P.32,D1L,612218.481463026,9142065.68988184,54.998
8,P.32,L,612220.45066451572,9142068.5384980831,57.042
9,P.32,T1,612221.0102066081,9142069.34792297,57.486
10,P.32,,612222.276,9142071.179,57.575
11,P.32,,612222.72181402473,9142071.8239076324,57.458
12,P.32,,612223.430908526,9142072.8496727068,57.127
13,P.32,,612225.02878787508,9142075.1611401178,56.895
0,P.33,,612184.03322614194,9142058.8507517874,57.185
1,P.33,,612185.70199827082,9142061.2090394255,57.461
2,P.33,,612187.315317951,9142063.4889623653,57.477
3,P.33,T1,612188.76690132241,9142065.5403216,57.513
4,P.33,L,612189.24171291466,9142066.21131933,57.101
5,P.33,D1L,612191.23338003142,9142069.025918074,55.01
6,P.33,,612194.810640604,9142074.08125741,55.024
7,P.33,D1L,612198.48147718376,9142079.2688371725,55.039
8,P.33,L,612200.48180874565,9142082.0956804026,57.083
9,P.33,T1,612201.0501963452,9142082.89891856,57.527
10,P.33,,612201.88313833543,9142084.07602163,57.499
11,P.33,,612202.336,9142084.716,57.616
12,P.33,,612203.5091658684,9142086.3739031479,57.168
13,P.33,,612205.13230525306,9142088.6677031685,56.936
0,P.34,,612163.84359410044,9142071.27200597,56.57
1,P.34,,612165.57534822566,9142073.75469738,57.007
2,P.34,,612167.29737660917,9142076.2234456968,57.381
3,P.34,T1,612169.4055741484,9142079.245816974,57.412
4,P.34,L,612169.78659438214,9142079.7920582965,57.104
5,P.34,D1L,612171.72030067327,9142082.564274013,55.012
6,P.34,,612175.641490886,9142088.18580257,55.018
7,P.34,D1L,612179.14676261554,9142093.211058693,55.058
8,P.34,L,612180.862497872,9142095.6707850043,57.075
9,P.34,T1,612181.37796218216,9142096.4097691346,57.634
10,P.34,,612182.57194000157,9142098.1214893125,57.59
11,P.34,,612183.108,9142098.89,57.637
12,P.34,,612184.252204906,9142100.53036433,57.134
13,P.34,,612186.16989232844,9142103.2796149459,57.025
0,P.35,,612143.68561003811,9142084.5530767087,56.48
1,P.35,,612145.387877505,9142087.0560778026,56.918
2,P.35,,612147.080584831,9142089.545021737,57.291
3,P.35,T1,612149.15288599243,9142092.59211755,57.323
4,P.35,L,612149.52741857676,9142093.1428274047,57.014
5,P.35,D1L,612151.42819956073,9142095.937721258,54.922
6,P.35,,612155.28262348485,9142101.6052367818,54.928
7,P.35,D1L,612158.72821078915,9142106.67160206,54.969
8,P.35,L,612160.41473214142,9142109.1514501851,56.985
9,P.35,T1,612160.92141961679,9142109.8964795824,57.544
10,P.35,,612162.09506752016,9142111.6222025026,57.5
11,P.35,,612162.622,9142112.397,57.548
12,P.35,,612163.74672247563,9142114.0507833455,57.045
13,P.35,,612165.63175734493,9142116.82252423,56.935
0,P.36,,612123.65304756432,9142099.73387006,56.784
1,P.36,,612125.396315807,9142102.1815303378,57.071
2,P.36,,612126.73117777915,9142104.05576205,57.379
3,P.36,T1,612128.77378925413,9142106.9237194,57.414
4,P.36,L,612129.1729135639,9142107.4841154981,56.929
5,P.36,D1L,612131.8037692979,9142111.1780054681,54.843
6,P.36,,612135.09074362833,9142115.7931279745,54.829
7,P.36,D1L,612138.57437950093,9142120.684375884,54.893
8,P.36,L,612140.48008205567,9142123.36010434,56.873
9,P.36,T1,612140.911693228,9142123.9661140721,57.247
10,P.36,,612142.27150046942,9142125.8753705416,57.402
11,P.36,,612142.648,9142126.404,57.552
12,P.36,,612144.29032692022,9142128.7099321932,57.083
13,P.36,,612145.48479923687,9142130.3870478384,57.045
0,P.37,,612103.83520625229,9142114.07615715,56.921
